,dupe
0,120 DICKINSON ST
1,307-09 REED ST
2,1332 S 3RD ST
3,619 MOORE ST
4,1828 S 10TH ST
5,116R CARPENTER ST
6,136 CARPENTER ST
7,212 CARPENTER ST
8,808 CARPENTER ST
9,139 CARPENTER ST
10,819 CARPENTER ST
11,800 MONTROSE ST
12,808 MONTROSE ST
13,232R CHRISTIAN ST
14,524 CHRISTIAN ST
15,526 CHRISTIAN ST
16,604 CHRISTIAN ST
17,812 CHRISTIAN ST
18,914 S 5TH ST
19,1023 E MOYAMENSING AVE
20,1201 LATONA ST
21,925 S 02ND ST
22,115-17 TITAN ST
23,932 ELLSWORTH ST
24,229 MANTON ST
25,112 CHRISTIAN ST
26,301 CATHARINE ST
27,418 FITZWATER ST
28,420 FITZWATER ST
29,124 CATHARINE ST
30,228-30 CATHARINE ST
31,228 CATHARINE ST
32,506 CLYMER ST
33,508 CLYMER ST
34,229 FULTON ST
35,1200 S CLARION ST
36,1202 S CLARION ST
37,129 CATHARINE ST
38,1204-10 S 12TH ST
39,1 QUEEN ST
40,920 S 6TH ST
41,634 BAINBRIDGE ST
42,810 S 12TH ST
43,739 S 13TH ST
44,329 KATER ST
45,233R BAINBRIDGE ST
46,235R BAINBRIDGE ST
47,742R S DARIEN ST
48,801 S WARNOCK ST
49,744R S DARIEN ST
50,758 S DARIEN ST
51,412 BAINBRIDGE ST
52,763 S 12TH ST
53,773 S 12TH ST
54,802 S 12TH ST
55,804R S 6TH ST
56,802R S 6TH ST
57,12 QUEEN ST
58,230 QUEEN ST
59,232 QUEEN ST
60,334 QUEEN ST
61,770 S FRONT ST
62,745 S 5TH ST
63,745R S 5TH ST
64,772 S FRONT ST
65,778 S FRONT ST
66,1 CHRISTIAN ST
67,830 S 2ND ST
68,777R S 3RD ST
69,622 S 11TH ST
70,624 S 11TH ST
71,626 S 11TH ST
72,628 S 11TH ST
73,630 S 11TH ST
74,1107 BAINBRIDGE ST
75,1109 BAINBRIDGE ST
76,1136 BAINBRIDGE ST
77,1138 BAINBRIDGE ST
78,725R-27 PEMBERTON ST
79,708 S PERTH ST
80,620 S 11TH ST
81,636 BAINBRIDGE ST
82,419 FITZWATER ST
83,421 FITZWATER ST
84,708 S 2ND ST
85,617 S 7TH ST
86,525R FITZWATER ST
87,746R S 2ND ST
88,740 S CHRIS COLUMBUS BLVD
89,715 S PHILIP ST
90,721 S PHILIP ST
91,617 S AMERICAN ST
92,619 S AMERICAN ST
93,621 S AMERICAN ST
94,224 MONROE ST
95,623 S AMERICAN ST
96,723 S AMERICAN ST
97,740 S CHRIS COLUMBUS BLV
98,718 S AMERICAN ST
99,720 S AMERICAN ST
100,722 S AMERICAN ST
101,724 S AMERICAN ST
102,1134 SOUTH ST
103,1136 SOUTH ST
104,1138 SOUTH ST
105,1140 SOUTH ST
106,1100 KATER ST
107,1142 SOUTH ST
108,1144 SOUTH ST
109,1146 SOUTH ST
110,1236R SOUTH ST
111,709 KATER ST
112,813 KATER ST
113,815 KATER ST
114,316 S 2ND ST
115,10 APPLETREE CT
116,11 APPLETREE CT
117,12 APPLETREE CT
118,13 APPLETREE CT
119,718 ADDISON ST
120,417 GASKILL ST
121,117-31 QUARRY ST
122,230 RACE ST
123,240 RACE ST
124,1215 WAVERLY WALK
125,826 LOMBARD ST
126,828 LOMBARD ST
127,830 LOMBARD ST
128,113R SOUTH ST
129,1136R WAVERLY ST
130,1134R WAVERLY ST
131,151-59 N 2ND ST
132,1206 PANAMA ST
133,151R-59 N 2ND ST
134,819 LOMBARD ST
135,48 N 03RD ST
136,1 APPLETREE CT
137,2 APPLETREE CT
138,1026 PINE ST
139,3 APPLETREE CT
140,4 APPLETREE CT
141,5 APPLETREE CT
142,6 APPLETREE CT
143,7 APPLETREE CT
144,8 APPLETREE CT
145,9 APPLETREE CT
146,514 RANDOLPH CT
147,518 RANDOLPH CT
148,243 DELANCEY ST
149,520 LOMBARD ST
150,524 LOMBARD ST
151,502 1/2 DELANCEY ST
152,304-06 LOMBARD ST
153,516 S 4TH ST
154,515 LOMBARD ST
155,513 RANDOLPH CT
156,517 RANDOLPH CT
157,521 RANDOLPH CT
158,702-12 N FRONT ST
159,817 N HANCOCK ST
160,800 N HANCOCK ST
161,444-48 FAIRMOUNT AVE
162,824-36 N AMERICAN ST
163,430 POPLAR ST
164,211 BROWN ST
165,227 BROWN ST
166,845 N ORIANNA ST
167,231 BROWN ST
168,233 BROWN ST
169,320 BROWN ST
170,903A WOOD ST
171,322 BROWN ST
172,707 N 3RD ST
173,837 N 03RD ST
174,608 N GALLOWAY ST
175,301 BROWN ST
176,303 BROWN ST
177,826-28 N 3RD ST
178,832-34 N 3RD ST
179,501 S 12TH ST
180,503 S 12TH ST
181,1006 WINTER ST
182,1008 WINTER ST
183,1012 WINTER ST
184,1014 WINTER ST
185,239 S HUTCHINSON ST
186,243-49 S HUTCHINSON ST
187,1015 SPRING ST
188,1021 SPRING ST
189,1023 SPRING ST
190,1025 SPRING ST
191,801 SOUTH ST
192,910 SPRING ST
193,912 SPRING ST
194,916 SPRING ST
195,918 SPRING ST
196,412 N FRONT ST
197,908 LOCUST ST
198,912 LOCUST ST
199,416 S HUTCHINSON ST
200,421 S 10TH ST
201,505 S 10TH ST
202,515 S 10TH ST
203,203 S JESSUP ST
204,1114 N 4TH ST
205,919 N 5TH ST
206,922 N 5TH ST
207,1003 N ORIANNA ST
208,944 N ORIANNA ST
209,1025 N LAWRENCE ST
210,1005 N 4TH ST
211,74-82 LAUREL ST
212,948 N LAWRENCE ST
213,956 N LAWRENCE ST
214,966 N LAWRENCE ST
215,920 N 4TH ST
216,204-06 LAUREL ST
217,968 N LAWRENCE ST
218,914 N RANDOLPH ST
219,714 N 04TH ST
220,634 N 05TH ST
221,850 N 4TH ST
222,933-37 N FRONT ST
223,936 N HANCOCK ST
224,916-24 N AMERICAN ST
225,877 N 5TH ST
226,829-33 N LAWRENCE ST
227,919 N FRONT ST
228,1102-22 N AMERICAN ST
229,1124-34 N AMERICAN ST
230,927-31 N FRONT ST
231,871 N LAWRENCE ST
232,1128 N FRONT ST
233,1130 N FRONT ST
234,300 N 8TH ST
235,304 N 08TH ST
236,304 N 8TH ST
237,308 N 8TH ST
238,311 N 9TH ST
239,313 N 9TH ST
240,1121 N HOWARD ST
241,602 N 05TH ST
242,604 N 05TH ST
243,924-28 NEW MARKET ST
244,426 N 40TH ST
245,4136 WESTMINSTER AVE
246,3142 D ST
247,3349 PALETHORP ST
248,116 W WESTMORELAND ST
249,3519 A ST
250,2411 DELANCEY PL
251,1727 DELANCEY PL
252,135-41 N 22ND ST
253,143 N 22ND ST
254,206-12 N 22ND ST
255,2203 RACE ST
256,2213-25 RACE ST
257,614 N 16TH ST
258,636 N 16TH ST
259,212R N 21ST ST
260,102 N VAN PELT ST
261,104 N VAN PELT ST
262,106 N VAN PELT ST
263,404 S CROSKEY ST
264,406 S CROSKEY ST
265,408 S CROSKEY ST
266,249 S 24TH ST
267,1830R-32 MANNING ST
268,222R S BONSALL ST
269,406R S 21ST ST
270,8845 NORWOOD AVE
271,8849 NORWOOD AVE
272,15 W SPRINGFIELD AVE
273,709 ST GEORGES RD
274,4 DRUIM MOIR LN
275,329 W MOUNT PLEASANT AVE
276,1194 E UPSAL ST
277,1196 E UPSAL ST
278,1198 1/2 E UPSAL ST
279,301 ELWOOD ST
280,4977 SHELDON ST
281,4979 SHELDON ST
282,5388R-90 MAGNOLIA ST
283,421 W SCHOOL HOUSE LN
284,5351 WISSAHICKON AVE
285,5430 LAURENS ST
286,615 N 10TH ST
287,1220 N 07TH ST
288,1222 N 07TH ST
289,4616R PULASKI AVE
290,831 N 15TH ST
291,837 N UBER ST
292,1000 MOUNT VERNON ST
293,1139 CLAY ST
294,2415 ASPEN ST
295,801 CAMERON ST
296,1701 NORTH ST
297,2019 GREEN ST
298,2217-21 GREEN ST
299,2819 PARRISH ST
300,2821 PARRISH ST
301,2326 N CARLISLE ST
302,2822 OGDEN ST
303,4923R-47 N 16TH ST
304,1114 SHACKAMAXON ST
305,1124 SHACKAMAXON ST
306,1130 SHACKAMAXON ST
307,1108 DAY ST
308,1037 CREASE ST
309,1121 CREASE ST
310,1212 E SUSQUEHANNA AVE
311,1415R E HEWSON ST
312,1120 E SUSQUEHANNA AVE
313,1241 CREASE ST
314,1243 CREASE ST
315,1126 E PALMER ST
316,1232 MASCHER ST
317,1417 HOPE ST
318,1419 HOPE ST
319,1326 MASCHER ST
320,1336 MASCHER ST
321,159 E ALLEN ST
322,165 E ALLEN ST
323,518 E CABOT ST
324,433 SALMON ST
325,412-24 MOYER ST
326,1306 N 3RD ST
327,1310 HOPE ST
328,1316 GERMANTOWN AVE
329,333 HERMITAGE ST
330,335 HERMITAGE ST
331,401 SEVILLE ST
332,403 SEVILLE ST
333,405 SEVILLE ST
334,407 SEVILLE ST
335,409 SEVILLE ST
336,411 SEVILLE ST
337,413 SEVILLE ST
338,337 HERMITAGE ST
339,339 HERMITAGE ST
340,341 HERMITAGE ST
341,4720 FOWLER ST
342,4713 FOWLER ST
343,4122 TERRACE ST
344,4124 TERRACE ST
345,4126 TERRACE ST
346,4128 TERRACE ST
